gene_name	BC_01	BC_02	BC_03	BC_03LN	BC_04	BC_05	BC_06	BC_07	BC_07LN	BC_08	BC_09	BC_10	BC_11
PTGDS	0.0	0.67531048	0.35767444	0.0	0.0	0.41391416	0.0	4.3654488	0.12704816	0.2262691	4.68578042	0.0	0.0
PTGIS	0.0	0.0	0.91974422	0.0	0.56222739	1.38036774	0.7915435	1.3691881	2.60786147	2.05256176	0.0	1.60190965	0.13580154
PTGS1	1.81932475	0.0	0.69584624	0.40291641	0.32881588	0.92642106	0.00796817	1.03402148	1.49856959	0.67139047	1.59388425	0.31799908	0.03308303
PTPN13	0.57855616	1.35951028	1.05034901	0.38278562	3.49076434	2.31802374	3.24978517	0.76583257	1.16090773	0.98532998	2.8061746	0.03922071	2.26062609
RAP1GAP	0.74028763	0.77076938	0.18659171	0.46396269	1.05684823	1.04197322	0.031111	0.1855842	0.21038324	1.04380405	0.0	0.0	0.17318907
RBM3	5.05437733	4.76698226	5.37117591	5.6110902	4.74707427	5.13486752	4.31899631	5.39453177	5.71106283	4.92340255	4.91199781	5.0370013	4.75232764
RNASE2	0.0	0.0	0.0	0.0	1.34578129	2.02796026	0.0	2.09941236	0.0	0.0	1.22837269	3.03534354	0.0
RORA	1.0447516	1.66965909	3.23416377	2.10055792	2.52124403	1.2103937	1.6051889	2.99742692	1.95380344	1.65781391	3.71635275	0.03077166	3.27882428
RPA1	2.74623487	2.85076843	2.53829797	4.00776945	3.01901008	2.87664157	2.58716235	2.21724077	2.86366611	2.6260539	3.17964284	3.2847806	1.92238893
RPL19	7.70534598	7.17694878	6.90504783	7.28667927	8.95788402	7.53584904	8.61806707	7.02022225	7.31157085	7.76411211	6.97089485	6.3546048	6.82247463
RRAD	0.0	0.00835783	0.4955199	0.13246264	0.31654127	0.02399551	0.0	1.76335327	0.46230901	0.76950417	0.04098198	1.21602489	0.0
S100A12	0.0	0.0	0.0	0.0	0.63908467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCN3A	0.0	0.0	0.8433131	0.13262189	0.10405458	0.00155723	0.01311364	1.16161777	0.13383795	0.22696234	0.0202927	0.04640637	0.01891096
CCL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL4	0.0254428	1.74885818	0.22767381	4.30518977	4.51420091	0.0	0.01901801	4.7404892	5.06215668	4.65186291	7.92131681	6.35551938	5.19433973
CCL7	0.0	0.0	0.01315632	0.0	3.60113129	0.0	0.0	0.0	0.0	0.0	5.1937223	0.05885836	0.0
CCL13	0.0	0.0	0.0	0.0	1.01498501	0.0	0.0	1.65234714	0.0	0.0	5.77328729	0.06062462	0.0
CCL17	0.0	0.0	1.07176872	0.19122123	0.03005235	0.0	0.0	0.05140113	0.0	0.0	0.0	0.0	0.0
CCL22	2.18721741	1.33922147	2.05568177	1.47005045	4.2791583	0.0	0.11118353	4.24414968	3.8126529	0.00995033	0.00216432	0.00871194	2.80704504
CXCL5	0.0	0.0	0.0	0.0	0.6189349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.46933144
XCL1	0.0	0.0	2.34445303	1.85624117	2.98852842	0.13500758	0.0	3.46676479	0.00620711	0.0	2.12989699	0.01242252	1.89830111
SGCB	3.25330698	2.41811162	0.01448912	2.00170111	1.97666713	1.83351609	1.88166111	3.27327488	2.53291783	2.5792282	1.77124492	1.87841488	4.02255558
SCG5	0.0	0.07910821	0.02772033	0.44386964	2.053776	1.62264896	0.0	0.50858783	0.0	0.0	2.63245223	0.0	0.0
SIAH1	4.05927522	2.96254475	3.49741624	3.47260431	3.16532485	2.37712618	0.86288996	3.18543664	3.08137322	1.97335613	1.61843069	2.70257692	3.35822662
SLC15A2	0.0	1.40069904	0.8568276	2.03053773	2.78821806	1.76803879	0.87796562	2.14677945	1.15128827	0.07211842	0.06156536	0.35417181	0.0
SLC18A2	1.57484647	0.24420589	1.28796612	0.4746519	2.08544046	2.32538805	0.15014266	2.72786564	2.0394054	2.09035998	2.01933762	0.78132975	0.85596152
SLC22A4	1.87310311	1.49370634	0.15074721	0.0	0.13310757	0.0	0.0	0.75280247	0.09170162	1.29829435	0.00482169	0.0	0.39816581
SNRPD1	4.20736413	4.16831945	4.62107812	5.22684089	4.5093609	4.43732925	4.44176145	4.53803274	5.10420926	4.54158657	4.60483846	3.99331493	5.21090591
SPIB	0.0	0.0	2.74974533	3.39586196	0.00422834	0.0	1.37967248	1.84204245	2.89380402	0.66268797	3.248098	0.0	0.03132247
SPN	0.0	0.61170468	1.21411043	1.76830473	0.30048117	0.0	1.93210095	2.19360146	1.88952518	0.145417	2.04370641	1.86678964	0.47057165
SULT1C2	0.0	2.3618811	0.00780728	0.0	0.60505664	0.85264532	0.0	0.03525358	0.0	0.0	1.41734881	0.0	0.0
VAMP2	1.98137275	1.7196367	0.55605734	1.60586791	1.63040304	1.40883071	1.1056541	1.42777496	1.62590535	2.66955039	2.84406601	2.14607747	0.61714931
XCL2	0.0	0.0	2.55172298	0.44864069	3.23815322	0.0	0.0	4.11960453	1.75495847	0.0	3.24401712	0.0717391	0.95060432
TAL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66299114	0.0	0.0	0.00116599	0.0	0.0
TBCC	3.12043151	2.06224088	3.10594317	2.55729778	2.62963047	1.74691605	1.9874359	3.72064883	3.37496963	0.30492388	3.23116006	3.28213227	3.69214684
TBXA2R	0.0	0.11587646	0.0	0.11170399	0.67112684	0.05900375	0.0	0.47708633	0.27419531	0.18304593	0.0	0.05767911	0.0
ZEB1	0.01829319	1.68920586	3.5123922	4.33470153	2.02408111	0.80007789	0.001998	3.92240035	4.06366164	2.75235829	3.18787351	0.0	4.59102516
TFPI	0.01829319	0.0	4.39745098	2.9309125	3.88043788	3.17931386	1.05779029	4.54494965	1.83309454	0.96350616	1.44511343	0.0	1.26129787
TGIF1	3.01850936	4.24744878	3.82393587	3.21753675	4.8158829	3.59223267	2.89805329	4.64198038	5.34176805	4.24570875	2.09502778	3.82749944	4.38492017
THBS1	2.14273229	4.19047151	3.68540722	3.48638487	2.98764884	0.00090868	0.52496519	4.8784356	4.65150451	5.02301344	2.88508931	2.24469111	3.93023792
THBS4	0.0	0.07646489	0.004315	0.0	0.40014022	1.16246064	0.00399202	0.0	0.0	2.38544657	0.0220876	0.0	0.45165449
TPSAB1	0.0	0.0	0.0	0.0	0.0	0.0	0.79822766	0.0	0.0	0.0	0.0	0.0	0.0
UBE2L3	4.88831409	4.55357421	4.71903685	5.04412399	4.92298396	4.80158248	5.13097506	5.19052907	4.931298	3.82234563	4.64209178	4.17724856	5.17481345
SF1	3.15780206	3.25723765	4.24822107	3.7338702	3.37474899	3.60999084	4.16406961	4.51202668	4.46373704	4.07548671	3.80137074	3.13858725	4.43155246
ZNF22	2.99178217	2.73213868	2.55923661	3.05765659	3.09809763	3.92176501	2.83377789	2.80167149	3.41462879	3.18029769	3.04675011	1.47975624	2.2107688
ZNF91	4.29879134	4.14869746	3.27720592	3.55518181	3.75621728	4.12432357	2.51711566	4.35540582	3.60914173	0.48937991	2.96978179	2.31049126	3.3655702
ZBTB16	0.0	0.0	0.30050491	0.5160845	0.03169573	0.0	0.0	0.09370461	1.22638025	1.08136292	0.0	0.0	0.0
ZNF205	0.0	0.0	0.04776003	0.0	0.33465461	0.34478637	0.0	0.38138669	0.0	0.0	0.0	0.0	0.0
LRP8	2.11944782	0.00178412	0.50730592	1.18206177	1.3451192	1.68399105	0.70051993	1.27886198	1.62998018	0.83366498	2.22202559	0.18906957	3.86258445
EVI5	2.26128221	2.02388636	1.58392605	1.68693753	2.22423869	1.93052336	2.28066663	2.52068063	2.0597922	2.8800286	2.05054898	0.19216875	1.2789116
SCG2	0.0	0.0	0.00887938	0.00453516	1.33896288	0.96386804	0.0	0.0	0.10843127	0.0	0.0	0.0	0.0
TCL1A	0.0	0.0	3.2206796	6.20426644	0.003553	0.0	5.41611818	0.23747178	4.80328771	0.14013994	4.52068471	0.0	0.0
TKTL1	0.0	0.0	2.53515435	0.19001913	1.68297187	0.0	0.0	0.97854724	0.15409677	0.0	0.01882175	0.0	0.0
DYSF	0.05826891	0.0	0.0	0.0	0.70460669	0.84441802	0.0	0.03638865	0.0	0.02913659	0.74368185	2.44229269	0.0
CDC7	0.48692693	0.0	2.23508724	3.73591483	1.5738283	2.42678903	2.01745975	2.01296651	1.75570857	0.0	0.20985566	0.03982149	3.88944271
HIST1H2BC	4.22319434	4.25702003	5.23937182	4.69753056	2.45673093	1.97034027	1.40580283	4.22480794	4.21395123	0.20418231	3.91017129	0.89685304	3.55633459
PLA2G6	0.13909282	0.51921887	0.02006756	0.80265364	0.49634845	0.70444674	0.0	1.09271257	1.41658563	0.01681436	0.30883183	0.03319297	0.11576079
PPFIBP2	2.5364403	2.31951244	1.73285072	2.39285781	3.92445724	4.49970721	2.43627647	2.69724696	2.90852877	1.00970188	2.03184754	3.4534933	3.92004529
PDXK	2.59114178	3.09398455	2.17643949	2.54016933	3.44030401	3.03869846	2.56368702	2.7753545	2.78602401	2.91357864	2.81984994	3.87975804	4.27311183
MADD	1.24149089	1.50518789	1.43231364	2.51508309	0.70912062	1.53630848	1.83654161	2.06385501	2.09785586	2.07470207	2.11271512	0.00374299	0.85053935
PDLIM4	0.03440143	0.94564147	0.0	0.0	1.51259096	0.07924319	0.27277146	0.67663912	0.0	2.03901575	0.01603738	0.71172357	2.44084393
SLC25A12	2.45721917	1.9650623	0.81344956	3.09500978	2.06613304	3.21633754	2.80961954	2.51494126	1.96914223	1.30915504	2.45386021	2.18302705	1.19061121
SKAP1	2.0157232	0.87233884	2.16530925	2.97662359	1.0448181	1.66397529	3.03474143	2.83805742	2.18594527	1.773256	3.7614869	0.80759131	0.0
MARCO	0.0	0.00445435	0.0	0.0	1.88297809	0.0	0.14254069	0.27286699	0.0	0.0	3.43521763	0.0	2.24293159
SIGLEC5	0.0	0.0	0.07696104	0.0	0.0	0.0	0.00598207	0.25144514	0.00882884	0.0	0.88768547	0.51095062	0.0
TNFRSF10C	0.04585546	0.80031856	0.0	0.0	0.36264017	0.46495846	0.0	0.0343067	0.0	1.97534834	0.26977265	0.0	0.0
FGF18	0.50751245	0.0	2.02405025	0.49934175	0.66939269	0.02652811	0.14979837	1.35714822	1.24697807	1.4420992	0.0	0.0	0.57661336
CD84	0.00192123	0.52757738	0.3124406	2.57226519	0.47654995	1.59628688	0.08947501	2.36807904	0.73941845	0.04796166	3.25604957	0.99925225	0.33647224
SYNJ1	0.59183828	2.70783589	2.08955911	0.74141773	0.62892499	2.18606587	1.40834935	3.36462153	1.97552129	0.72880805	2.3235635	3.44331853	2.93046622
MCM3AP	1.05283681	2.31368399	2.1238463	2.48593642	1.81931418	2.46868268	0.30040084	2.93869496	2.04449846	2.12807641	2.04659547	2.73192947	1.74777592
MGAM	1.35860688	1.32660122	0.0	0.0	0.00186267	0.21793521	0.0	0.00254578	0.0	0.0	0.11064652	0.00933133	0.0
CH25H	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83652964	0.02349539	0.21230239	2.34929373	2.14899676	0.0
SYNGR3	0.0	0.0	0.0	0.79898031	0.10619068	0.36455292	0.01508564	0.67234405	0.03339828	0.03963869	1.0508799	0.0	0.04096744
DGKI	0.00076894	0.0	0.03609734	0.0	0.51007958	0.59476085	0.0	0.36817717	1.62661037	0.23593101	0.01521697	3.8431953	1.41563249
SLC16A7	0.00575265	0.00924287	1.30935494	1.74225087	0.0154729	0.0	0.07807154	1.35532967	1.08308353	0.25968509	2.29485529	0.0	2.29556048
CD163	0.65372645	2.59281303	0.17008483	0.0	2.37678023	1.06197525	1.19392247	1.92527861	0.00282619	0.0	5.83495108	0.35329424	0.0
ABCG2	0.0	0.0	0.0	0.0	0.78706965	0.0	0.0	0.26987745	0.0	0.45687434	1.13777958	0.0	0.0
NCR1	0.0	0.0	0.00887938	0.02229506	0.0	0.0	0.0	0.0	0.0	0.0	2.75047092	0.0	0.0
ITM2A	0.54008565	0.0	5.72531916	4.43524637	3.08120221	0.07708128	0.87746674	4.19398877	4.27988682	0.0	4.95084401	0.02834447	2.52638298
NR1D1	0.28864315	0.58808424	1.551637	0.77212639	3.80988892	2.06533274	0.04726519	1.60562674	0.32617683	0.0	0.00846408	0.07290189	1.17248214
CREB5	3.47833647	0.0	0.68446092	1.77931877	2.80885119	2.19540474	1.45020769	3.26889772	3.77939686	0.85107952	0.56484021	2.95546351	3.41885868
SEC24C	2.92493833	1.67251331	2.62603859	2.89212779	3.549632	2.81162991	0.90938696	3.24406186	3.44309955	1.04073751	2.50416447	2.44782116	2.26592111
MICAL2	2.85425733	2.79311325	1.3336488	0.18791196	1.40584771	2.1314732	0.46624658	1.95699692	2.84415219	2.10810294	2.06686276	0.0	2.19489864
KIAA0125	0.0	0.0	0.43650973	3.39155712	0.0	0.0	1.72789628	0.0	2.44341292	0.0	2.83941954	0.0	0.0
TECPR2	1.33863817	1.3399699	0.03948055	1.53518448	0.54202862	0.29885321	0.23838678	0.85533272	0.2282625	0.46209198	0.25205489	0.52065218	0.0
MRC2	0.0	0.12946062	0.06639491	0.0	0.04668949	0.21017673	0.18995898	0.12221763	0.13119376	1.06620886	0.08019654	0.40212621	1.36446696
KBTBD11	0.35767444	0.00089246	0.0	0.0	0.00220097	0.00350036	0.0	0.14960254	0.0	0.26869867	0.00465581	0.0	0.0
HS3ST2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03695571	0.0	0.0	0.0	0.0	0.0
ATP9A	1.10843568	1.27964333	1.10695576	1.30212193	2.53486643	0.89210448	1.07990506	1.95007513	1.63249089	1.57394589	0.02453	0.37886443	1.62082735
EBI3	0.0	0.0	0.33473327	3.16125442	2.96758561	0.0	0.03613905	1.76059251	1.65228051	0.0	1.05169537	0.67262554	0.0
CD96	0.0	0.00498754	3.13074736	2.57638028	1.14314265	0.00168689	3.74167113	3.23536655	3.20541966	0.0639949	5.10228119	0.01918969	2.46940838
AP3S2	3.13619631	1.92469172	2.85247029	2.60492288	4.99227339	2.78006074	1.22318702	2.28609697	3.14661346	1.36531495	2.34324707	0.79975692	2.42681197
ABCC4	1.38282682	0.07115719	0.03374839	1.69230739	2.44308368	3.22178587	1.31318589	1.63047008	1.80345185	1.61637035	0.28266953	0.64710324	2.45076996
LILRB2	0.0	0.0	0.0	0.04514717	0.02229205	0.0	0.96759203	0.12689175	0.08600458	0.06481022	2.65495411	0.07580296	0.0
SPON2	0.0	0.20599739	0.5150868	0.78672032	1.24146451	1.52067766	0.92521083	0.86800632	0.99381067	2.6825094	0.25205489	2.23551002	1.11811778
CLEC10A	0.0	0.0	0.0	0.0	0.52211756	0.0	1.94184475	0.23700778	1.8143022	3.04296844	2.16048375	0.0	0.0
SEMA4B	1.48892037	2.21850448	0.36182383	1.17691923	5.26436964	2.46754908	1.62719924	1.90872881	2.66321071	1.01507314	1.95347669	1.32275534	1.1058587
CIB1	3.8693965	3.74070921	2.3288322	3.12862483	6.63045148	4.07762329	3.1304205	3.67349207	4.343276	2.55320846	4.44029947	4.15773985	4.30852687
ATG7	2.90424938	3.16254732	2.27351806	3.67732661	2.57731071	2.9286763	3.02303611	2.39047027	2.95091252	2.21925074	3.22671171	2.02559565	1.18423381
UBD	0.0	0.0	0.06715334	4.50183388	5.29527801	0.0	0.0	3.07798972	0.0	1.89670686	5.09546448	0.0	3.01820513
BATF	1.19613447	1.69161022	2.93179897	2.89970183	1.88688987	1.72197779	1.06650223	3.15602372	2.84901459	0.0	3.34218431	0.0	0.14606614
ANP32B	3.05623019	2.5856135	3.24956755	4.36448273	3.10893989	2.97024129	3.75300852	3.58759558	3.82726227	2.71679447	3.46298211	4.27402374	4.93151993
GNLY	0.02918532	0.00888895	4.59382772	0.05844042	2.99342453	0.64519757	0.0	0.03733356	0.0035785	0.0	6.15546407	0.0618004	3.58923489
IGF2BP2	0.0	1.42250574	0.03609734	0.21408446	3.84097839	0.13659488	0.0	1.05819871	0.5264018	0.16256241	1.96711236	0.62894194	2.94959314
CXCR6	0.00651718	0.18736832	0.0	0.0	2.00609599	0.55582382	0.0	1.35289978	0.25376426	0.0	3.74293746	0.01056895	0.36211467
YME1L1	3.08056821	3.63225241	4.053241	4.61072021	4.33923634	3.67552444	3.27016192	4.1352042	3.83397987	3.57322459	3.00320429	2.58795199	3.27415571
CCR9	0.0	0.0	0.0	0.0	0.09546425	0.12771908	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HPSE	0.0	0.08601386	0.0	2.09428537	0.01078905	0.0	0.0	1.52319629	1.25049625	0.0	2.05316173	0.0	0.0
STARD3	0.0366286	0.33186983	2.58593346	1.06245113	2.40344226	3.2159156	2.27927552	0.02459696	1.26263323	2.29358822	0.77710529	0.08100378	0.0
BTG3	2.3997467	1.76362941	1.9982608	3.03247615	2.83514567	0.90126938	1.7398344	4.07639355	3.68660801	2.57075189	3.25496986	3.34702715	2.44574048
ABHD2	4.68283611	3.05889988	2.07676905	2.15776949	2.62799149	2.20737491	2.00810664	2.84850528	2.34490333	3.68699725	1.91944394	1.10979948	2.02539326
LDB3	0.17878969	0.0	0.0	0.03659489	0.00759818	0.00569802	0.0	0.0	0.07153053	0.0	0.0	0.0	0.0
WDHD1	1.85190132	1.93294379	2.44349796	3.23867845	1.54282719	1.5562563	2.36386832	2.1994226	3.04617426	0.4312176	0.80102951	0.00498754	3.22344718
TMC6	0.21138235	1.75458903	2.63163604	2.89198661	0.94225579	1.36870552	2.19931129	2.49678032	3.38820772	2.96771294	2.1205435	0.72240254	3.45703337
CASC3	3.3467412	3.20938089	4.07172581	3.29715586	5.1132704	6.1168389	4.01622445	2.69367283	3.80209442	3.38941813	3.01107234	2.6875073	3.21475827
VASH1	0.31312487	0.35742466	0.02693137	0.12286103	0.37680985	0.54684441	0.11189909	0.88627614	0.01013712	0.0	1.28702636	0.1755277	0.32010526
EPN2	1.5736513	0.74329696	2.18215667	1.24121604	2.35055167	4.17148195	1.08166957	2.53711456	2.84891626	1.79991453	0.50581308	3.41631175	2.96283335
KLRK1	1.49004782	1.30456124	2.98603678	1.92159084	3.21861138	0.0	0.07622003	2.66495165	3.19238461	2.28702995	5.55852097	0.06473381	1.08180517
CD93	0.0	0.01083396	0.0	0.0	0.00709343	0.0	0.04650183	0.54471541	0.01237593	0.0	1.86219204	0.23605978	0.0
MAPRE3	0.12561553	0.95282928	0.01288954	0.0	0.23500513	0.14909152	0.0142973	0.01266456	0.46669628	0.40168987	1.45161383	0.22364343	0.0
GOLGA8A	1.27836645	3.74032765	1.45527822	2.8942531	2.71124284	2.61528915	3.05795562	3.63406086	3.91905858	3.55677561	1.76795049	2.10123361	3.13660032
ZNF609	1.32411204	2.75830188	1.57909015	1.9394739	1.12118056	2.95292644	2.08597018	2.46126332	2.17153042	2.20865657	1.86413181	0.06999237	2.08103119
PEG10	0.0	0.7593027	2.23759963	1.92496505	3.37336737	1.64855872	2.50330306	1.95149676	2.21441352	3.14493908	0.00995033	2.42258789	0.6230173
RRP12	1.71939554	2.22966872	1.55905459	2.80546285	2.45150176	1.38427935	1.32951235	3.40877643	3.10406196	1.20205793	1.23614954	2.11482377	2.45850045
SLC7A8	2.36649842	3.7047528	2.95798831	2.01074895	1.51094641	3.19008078	0.76136642	2.11852084	2.1866447	0.0	0.73548802	0.49317069	0.01174889
LEPROTL1	3.51122392	3.10025315	4.34304697	3.61114884	3.20586958	4.41354575	1.97024033	4.35700541	4.00169123	3.63814664	4.68601719	2.98252038	4.26360135
SLC39A14	2.25319282	0.69866763	0.94946409	1.77390404	2.24195306	1.54814261	1.11867632	0.07931846	1.68800493	1.48731941	0.03841911	0.0	2.81682307
CLEC5A	0.0	0.91242613	2.6649546	0.0	1.53127479	0.58178021	0.0	2.5549752	1.11995523	1.13769364	3.52494285	2.96000794	0.01264696
ARHGAP8	2.67045483	3.36828672	2.13869798	1.26155537	2.52683989	4.26532682	2.15199473	3.00242551	2.52869782	2.28411115	1.25309625	3.15324337	3.32585321
ASF1A	2.83569894	1.71595133	3.35055821	2.97759608	3.0873376	3.46186071	1.61039745	3.94266251	3.25456345	2.62012141	3.0923976	2.87979519	3.02692258
EGFL6	0.0	0.0	0.0	0.0	0.003553	0.0	0.0	0.85140705	0.00395444	1.45689464	0.02322813	0.0	0.0
TIPARP	4.26672369	4.87684809	4.07940011	3.86383684	4.09074771	3.24805125	3.54949094	5.23685802	5.43280868	3.30379226	3.11478857	2.3834736	4.68826557
RAI14	2.77834137	2.13501139	2.1874472	1.50306679	3.08208878	1.20019946	1.20668911	2.66462406	0.93468652	2.21588987	1.55761816	1.75028622	3.4777936
PCOLCE2	0.0	0.0115403	0.00834347	0.0	0.51697616	0.0	1.65280387	0.0	1.80723656	0.0	0.01242252	2.06852277	2.23527911
ZBTB32	0.0	0.0	0.13102826	0.23744086	0.01380261	0.0	0.0	0.0	1.03539784	0.23145673	0.90758629	0.0	0.0
LAMP3	0.0	0.0	1.17340214	1.46800002	1.09050038	0.0	1.7942896	2.30932702	1.89812891	1.94584804	3.25560626	0.01427266	2.23030761
BLNK	2.77462991	3.03684851	3.62575255	5.39059402	3.53771654	3.65697322	4.78663805	3.98371237	4.95482869	1.35941458	3.65579653	2.83728592	0.0
ABT1	3.34317434	3.45551081	3.3012078	3.45936909	3.52780017	2.83424413	3.22812888	2.96308754	3.92186498	1.87420731	3.7465507	2.80279204	2.60652072
ICOS	0.0	0.0	4.35536003	2.88405894	0.59117076	0.0	0.0	2.86352214	2.29026422	0.0	2.45090452	0.0	0.0
CD209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03827758	0.0	0.0	1.37615985	0.0	0.0
G0S2	0.04401689	1.45403645	2.33601987	1.98270535	2.38803169	0.0	1.77535905	3.06622728	3.43272043	3.02971353	2.55807966	3.99245025	3.69264508
IL21R	0.0	0.01348016	1.8842401	3.11302226	0.76845903	0.0	0.25959119	1.16480385	3.40905948	0.0	1.54304879	0.0	0.01174889
IL22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRAT1	0.14509885	0.0	3.87448952	2.00238868	2.43009841	0.0	0.0	3.54025433	2.38607613	0.0	3.71583373	0.0	0.0
MED31	3.63075111	2.681804	4.35884099	3.82298909	5.11076384	3.77385006	4.13583833	3.36635556	3.49152088	3.7333539	3.84695812	3.3105202	2.85511087
SLC25A37	2.43084299	2.98922903	3.54102199	2.46135884	3.61470368	4.03774672	2.78033365	4.50353258	4.33779376	4.92943153	3.89347539	4.65968796	5.23728783
NGRN	3.39615907	3.64704318	3.57589233	4.25438952	6.7634885	3.58493208	2.81550452	3.96909993	3.48490246	3.0557429	2.45444744	2.43207709	4.22084371
MS4A4A	0.02843794	0.06028843	0.19574458	1.97491401	1.60600831	0.62392237	0.0	2.62106734	0.02809226	0.0	4.4804324	0.12111083	0.22387056
FZR1	1.39624469	0.74389122	0.0	0.41379396	1.16706264	1.18300118	0.27429284	1.49246337	1.5920038	0.865272	0.10090058	0.0	0.13421298
KLRF1	0.0	0.0	0.0	0.0	0.08493295	0.0	0.0	0.0	0.0	0.13255265	0.0	0.0	0.13421298
LIMA1	4.06614951	3.85612136	4.46466472	4.47211868	4.26600212	5.17868083	3.0229388	5.15053931	4.66400497	4.2999969	3.12143939	3.89534723	3.54862421
C9orf156	2.81303372	2.38654868	2.08362198	3.38557908	2.61074255	3.01770342	2.38050863	3.15436868	3.0378244	3.31350593	2.92394085	0.0	2.21484618
NLK	0.64144895	0.68615853	2.64986742	3.48695798	2.73449957	2.16986969	0.91035314	0.97500349	1.84246454	0.69921569	3.01506093	0.00623055	0.37344267
CDK12	1.94942046	2.45688372	2.61449164	2.20246336	4.23224282	2.79974899	1.97452537	2.08073972	2.26507914	2.2650638	2.51664754	0.40045257	1.04316364
SYT17	1.07316298	0.44067136	0.0	1.85005696	2.08962259	2.01245848	1.03631126	0.35134705	1.21210942	0.00390541	0.11793117	0.0	0.0
SIX4	0.09005162	0.95158893	2.92459908	2.0178804	3.33204711	2.12456078	2.07337317	1.68882882	1.08900655	1.78521637	1.34003225	2.72985246	1.76659705
BCL11A	2.63501069	0.0	3.06389597	3.83560131	0.85051303	2.01913647	4.28042017	2.35608869	4.21262782	2.17346631	3.4566426	3.91886207	4.49915289
NUDT9	2.97750955	2.4343493	1.62584315	2.28258645	3.17451651	3.12477634	3.0905878	2.7729073	2.63742527	1.39387426	2.64739155	3.73900801	1.93007109
S1PR5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00995033	0.0097853	0.0	0.0
KRT20	0.0	0.0	2.1709361	0.0	4.62794281	0.0	0.0	0.01111448	0.00526911	0.0	0.0	0.0	0.0
LRRN3	0.0	2.11448976	1.56816537	1.04104738	1.33958466	0.35357925	1.65096366	0.90746761	0.0	0.28419775	2.41990876	0.0	1.19088756
AHI1	3.04858013	3.74931498	4.20237044	3.99909438	4.27387503	4.76445571	2.29261556	4.81117316	4.29081348	4.17096335	3.90246077	3.62162057	4.79161203
LIME1	0.7663619	0.0	0.13102826	0.4678422	0.50221236	0.03584339	0.26972175	1.3315379	0.6229069	0.10748868	1.6116355	1.19031749	1.64023161
NEIL3	0.05426963	0.01857639	0.87569394	2.99504113	0.64461546	0.88113447	0.44160415	0.0	2.14004397	0.0	0.5252215	1.37829369	0.0
PHF10	2.84647346	2.02596071	3.1163102	3.56740495	3.26466553	2.89018415	2.1720663	3.28545638	2.91640315	4.0273063	2.58140299	3.24342209	1.28923265
QRSL1	2.19242676	0.28100807	1.90492727	3.17478334	2.90007034	2.33593195	3.16375205	1.64971388	3.07879798	1.14919519	1.97576941	0.76923979	2.03731662
CPPED1	2.83235325	0.96058099	2.17263031	1.12445723	0.56781453	1.76243765	2.25368892	1.52229818	2.43876392	0.0	1.89846907	0.0	4.2124777
GIMAP5	1.2976733	2.25211852	3.77364281	0.34126592	2.2732261	0.0	0.0	2.72983727	1.93762797	0.0	3.97930152	0.01734864	0.0
TRPV6	0.02469261	0.0	0.004315	0.07965102	0.2817322	2.75473549	1.34921535	2.83126219	3.40900331	1.79009141	1.11934041	2.83067336	1.61216147
SMPD3	0.0	1.8205378	0.32969255	0.54211285	0.65813455	0.94410801	0.04955178	1.03951428	0.24995082	0.0	2.68479295	0.0	0.0
CDKN2AIP	2.05343316	2.84989073	2.98554543	3.14802408	2.87067816	1.49068363	2.99729106	2.88340857	3.51015331	0.5143845	2.28733608	2.6016243	2.14901001
PRR5	0.372624	0.0	0.02482444	0.0	0.51717828	0.13919713	0.01192857	0.59245982	0.0	1.03008515	0.27737918	0.15057286	0.03308303
THUMPD1	3.84499523	4.96593675	4.81146997	4.59532185	4.61694299	4.84497622	4.55365371	4.64717172	4.56790514	4.91483601	5.04880631	4.85071103	4.55658137
SMEK1	3.24755298	3.84746544	4.55780941	4.87984162	3.51051278	3.1349746	3.97874664	4.84411761	5.24837172	3.56609753	3.77429616	2.10451518	3.9932175
RCOR3	3.33446843	2.11928449	3.73743149	3.70134687	3.28045234	3.33472452	1.26175103	4.09839843	4.57068616	3.30396797	3.10792192	4.14142692	3.84397774
IL26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.60410283
DOK5	0.0	0.0	0.0	0.0	0.23714674	0.0	0.0	1.16785785	1.19174743	0.92287769	1.66146094	2.43815347	0.75782774
PMEPA1	0.90841364	1.61350108	2.4458661	0.83362033	2.8571421	1.60613376	1.27525106	3.15246784	3.32701587	3.31634967	0.89343144	2.17098041	3.21556125
CYSLTR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35883927	0.00809217	0.0
